image,scanner,time,low_cve_cnt,med_cve_cnt,high_cve_cnt,crit_cve_cnt,unknown_cve_cnt,tot_cve_cnt,digest
golang:latest,trivy,2022-08-31 14:35:41,257,42,47,12,1,359,sha256:d3f734e1f46ec36da8c1bce67cd48536138085289e24cfc8765f483c401b7d96
nginx:latest,trivy,2022-08-31 14:35:55,90,15,16,4,0,125,sha256:b95a99feebf7797479e0c5eb5ec0bdfa5d9f504bc94da550c2f58e839ea6914f
php:latest,trivy,2022-08-31 14:36:01,243,30,32,4,1,310,sha256:dacfe5971d996c3ddb26374728a7789fabc7c871a87177b2944c3eec5174dfdf
cgr.dev/chainguard/go:latest,trivy,2022-08-30 14:35:02,0,0,0,0,0,0,sha256:12ba848749d1367790738db8e7be4e28687faa34b167a6b1cfe253855502fba3
cgr.dev/chainguard/nginx:latest,trivy,2022-08-30 14:35:23,0,0,0,0,0,0,sha256:ad547586beca8f5d614a75025f2b6746b21bb02959116e67df848da577cb76d4
cgr.dev/chainguard/php:latest,trivy,2022-08-30 14:35:25,0,0,0,0,0,0,sha256:875ce2f36a7a7e1cb2d5ba580f3b810916006e0340fcaf9b0c8747faae17b802
golang:latest,trivy,2022-08-30 14:35:46,257,41,47,12,0,357,sha256:d3f734e1f46ec36da8c1bce67cd48536138085289e24cfc8765f483c401b7d96
nginx:latest,trivy,2022-08-30 14:35:59,89,15,16,4,1,125,sha256:b95a99feebf7797479e0c5eb5ec0bdfa5d9f504bc94da550c2f58e839ea6914f
php:latest,trivy,2022-08-30 14:36:05,243,29,32,4,0,308,sha256:dacfe5971d996c3ddb26374728a7789fabc7c871a87177b2944c3eec5174dfdf
cgr.dev/chainguard/go:latest,trivy,2022-08-29 14:35:11,0,0,0,0,0,0,sha256:5f37025478e7c8e2743ff134bece15d348f09c50cc4654ff3af3b94c16a65f69
cgr.dev/chainguard/nginx:latest,trivy,2022-08-29 14:35:39,0,0,0,0,0,0,sha256:7da679666b346a85417c879db63a20f2a5be9beea2a48034498505b445b9deb5
cgr.dev/chainguard/php:latest,trivy,2022-08-29 14:35:42,0,0,0,0,0,0,sha256:7b88b03fa121294c2b4745a6b806988efca1cfe688a9551399036ed893124632
golang:latest,trivy,2022-08-29 14:36:11,257,43,45,12,0,357,sha256:d3f734e1f46ec36da8c1bce67cd48536138085289e24cfc8765f483c401b7d96
nginx:latest,trivy,2022-08-29 14:36:30,89,15,16,4,0,124,sha256:b95a99feebf7797479e0c5eb5ec0bdfa5d9f504bc94da550c2f58e839ea6914f
php:latest,trivy,2022-08-29 14:36:41,243,31,30,4,0,308,sha256:dacfe5971d996c3ddb26374728a7789fabc7c871a87177b2944c3eec5174dfdf
cgr.dev/chainguard/go:latest,trivy,2022-08-28 14:33:37,0,0,0,0,0,0,sha256:e1376d9e71e4f88320a8d7821afb11c7b3a9808fe9e49d10c4e211d746edce6c
cgr.dev/chainguard/nginx:latest,trivy,2022-08-28 14:33:57,0,0,0,0,0,0,sha256:f6d05a005458866e0a7b94186a35b65cfef2924ee78fbdc8ee5ced35e89edb02
