image,scanner,scanner_version,scanner_db_version,time,low_cve_cnt,med_cve_cnt,high_cve_cnt,crit_cve_cnt,unknown_cve_cnt,tot_cve_cnt,digest
cgr.dev/chainguard/go:latest,trivy,,,2022-09-24 14:35:06,0,0,0,0,0,0,sha256:4c2f59f00725d25671a6f0336fe34c1d57b14bb37dc5234ab25c564b625cfea7
cgr.dev/chainguard/nginx:latest,trivy,,,2022-09-24 14:35:44,0,0,0,0,0,0,sha256:fb334858dc8866236865fe3846e271701aa1ee6d7c345b36bdba7669b305ff0e
cgr.dev/chainguard/php:latest,trivy,,,2022-09-24 14:35:47,0,0,0,0,0,0,sha256:c17600b432626ffb7ff728026da191db6f326e2f3c5359772a3237d6e6f3605e
golang:latest,trivy,,,2022-09-24 14:36:15,275,44,51,10,0,380,sha256:2d17ffd12a2cdb25d4a633ad25f8dc29608ed84f31b3b983427d825280427095
nginx:latest,trivy,,,2022-09-24 14:36:34,93,15,13,2,0,123,sha256:0b970013351304af46f322da1263516b188318682b2ab1091862497591189ff1
php:latest,trivy,,,2022-09-24 14:36:45,261,32,32,1,0,326,sha256:93e675294f2d4884625771a85e61f5c3be3622b1686516fb1de8d1e862f742d5
cgr.dev/chainguard/go:latest,trivy,,,2022-09-23 14:42:19,0,0,0,0,0,0,sha256:de1d6cb284f6ddbd71bc884992ff753bcdacde491f377cc87be7d26faa883532
cgr.dev/chainguard/nginx:latest,trivy,,,2022-09-23 14:42:49,0,0,0,0,0,0,sha256:391ea132692dc62fe5617ced7e8f559d0efa1501625dba1af950893dc548c679
cgr.dev/chainguard/php:latest,trivy,,,2022-09-23 14:42:52,0,0,0,0,0,0,sha256:5d7a350cb2b6ecdaa67cd52d75f07e874fbb21fdbcd9e4ec25dd1d064f15a51e
golang:latest,trivy,,,2022-09-23 14:43:14,275,44,51,10,0,380,sha256:2d17ffd12a2cdb25d4a633ad25f8dc29608ed84f31b3b983427d825280427095
nginx:latest,trivy,,,2022-09-23 14:43:29,93,15,13,2,0,123,sha256:0b970013351304af46f322da1263516b188318682b2ab1091862497591189ff1
php:latest,trivy,,,2022-09-23 14:43:36,261,32,32,1,0,326,sha256:93e675294f2d4884625771a85e61f5c3be3622b1686516fb1de8d1e862f742d5
cgr.dev/chainguard/go:latest,trivy,,,2022-09-22 14:39:21,0,0,0,0,0,0,sha256:b7a3d02639057ae0d796875be99d9ece286dd55aa5d6bb3fd30e19b69643941a
cgr.dev/chainguard/nginx:latest,trivy,,,2022-09-22 14:39:58,0,0,0,0,0,0,sha256:bcf8e52a84b4143b338286825c6e815b34ee3f367d12508b4053377443097cc1
cgr.dev/chainguard/php:latest,trivy,,,2022-09-22 14:40:01,0,0,0,0,0,0,sha256:3497e216cb41216011fa2662457a7fae0a5ff8669cd1ffbb104e31a9e0e9c55b
golang:latest,trivy,,,2022-09-22 14:40:30,275,43,51,10,1,380,sha256:2d17ffd12a2cdb25d4a633ad25f8dc29608ed84f31b3b983427d825280427095
nginx:latest,trivy,,,2022-09-22 14:40:48,93,15,13,2,0,123,sha256:0b970013351304af46f322da1263516b188318682b2ab1091862497591189ff1
php:latest,trivy,,,2022-09-22 14:40:58,261,31,32,1,1,326,sha256:93e675294f2d4884625771a85e61f5c3be3622b1686516fb1de8d1e862f742d5
cgr.dev/chainguard/go:latest,trivy,,,2022-09-21 14:40:10,0,0,0,0,0,0,sha256:6d9991d65c2bcfff05cadb772d63f47453eb22ad3b75e558a761e7e936e74ed0
cgr.dev/chainguard/nginx:latest,trivy,,,2022-09-21 14:40:44,0,0,0,0,0,0,sha256:c4b7701d82c4c58178a7c008dc7f08506552b546ffdd2f9ccf0b5f88d1154704
cgr.dev/chainguard/php:latest,trivy,,,2022-09-21 14:40:46,0,0,0,0,0,0,sha256:8c691fd606e543fbf99c5e8f574b1dc3736f95d000cee66f2c5569c05fd2b15c
golang:latest,trivy,,,2022-09-21 14:41:14,275,43,51,10,0,379,sha256:2d17ffd12a2cdb25d4a633ad25f8dc29608ed84f31b3b983427d825280427095
nginx:latest,trivy,,,2022-09-21 14:41:33,93,15,13,2,0,123,sha256:0b970013351304af46f322da1263516b188318682b2ab1091862497591189ff1
php:latest,trivy,,,2022-09-21 14:41:42,261,31,32,1,0,325,sha256:93e675294f2d4884625771a85e61f5c3be3622b1686516fb1de8d1e862f742d5
cgr.dev/chainguard/go:latest,trivy,,,2022-09-20 14:40:48,0,0,0,0,0,0,sha256:c038d4924f67f03fe745394d349a8f9d516b8bc6119aa6ef9ada5ea0a617fbe7
cgr.dev/chainguard/nginx:latest,trivy,,,2022-09-20 14:41:11,0,0,0,0,0,0,sha256:5a87591e4281db15ee14c2bd76bcfb62fb7befb9b9dcd1fffb3ea7bc115d0213
cgr.dev/chainguard/php:latest,trivy,,,2022-09-20 14:41:13,0,0,0,0,0,0,sha256:5b42dd215170fd8a9283b915984941a69a74ff272a671bc0e15c42fa1baecff7
golang:latest,trivy,,,2022-09-20 14:41:34,275,42,51,10,1,379,sha256:2d17ffd12a2cdb25d4a633ad25f8dc29608ed84f31b3b983427d825280427095
nginx:latest,trivy,,,2022-09-20 14:41:49,93,15,13,2,0,123,sha256:0b970013351304af46f322da1263516b188318682b2ab1091862497591189ff1
php:latest,trivy,,,2022-09-20 14:41:56,261,30,32,1,1,325,sha256:93e675294f2d4884625771a85e61f5c3be3622b1686516fb1de8d1e862f742d5
cgr.dev/chainguard/go:latest,trivy,,,2022-09-19 14:39:42,0,0,0,0,0,0,sha256:32996ff815cba7d209fb6403bd9a73f2b259220505840638829f706ab2dd31fa
cgr.dev/chainguard/nginx:latest,trivy,,,2022-09-19 14:40:16,0,0,0,0,0,0,sha256:f80521a1cf0a093c1bea5a06a72da62faf8cd60e02e7a5f332fef88e3d74b013
cgr.dev/chainguard/php:latest,trivy,,,2022-09-19 14:40:19,0,0,0,0,0,0,sha256:772853fefb606601ced2d37a0d785aac5a0cbca81e6f5a19ed5bc00cf0b3bd29
golang:latest,trivy,,,2022-09-19 14:40:49,275,42,51,10,1,379,sha256:2d17ffd12a2cdb25d4a633ad25f8dc29608ed84f31b3b983427d825280427095
nginx:latest,trivy,,,2022-09-19 14:41:09,93,15,13,2,0,123,sha256:0b970013351304af46f322da1263516b188318682b2ab1091862497591189ff1
php:latest,trivy,,,2022-09-19 14:41:21,261,30,32,1,1,325,sha256:93e675294f2d4884625771a85e61f5c3be3622b1686516fb1de8d1e862f742d5
cgr.dev/chainguard/go:latest,trivy,,,2022-09-18 14:34:48,0,0,0,0,0,0,sha256:2690f15ecc5c837f92b59a0c75a9528cee8294b48ab5412ea8ecaee395939acc
cgr.dev/chainguard/nginx:latest,trivy,,,2022-09-18 14:35:08,0,0,0,0,0,0,sha256:8cc0d6283014f240b1d2f1663f5061aadf44f99f5e4b206cf61bee75ba37d16a
cgr.dev/chainguard/php:latest,trivy,,,2022-09-18 14:35:10,0,0,0,0,0,0,sha256:6f755ba67d7f16953d36691b3a143eace462f11855e3e727c415714e5eb83478
golang:latest,trivy,,,2022-09-18 14:35:29,275,42,51,10,0,378,sha256:2d17ffd12a2cdb25d4a633ad25f8dc29608ed84f31b3b983427d825280427095
nginx:latest,trivy,,,2022-09-18 14:35:43,93,15,13,2,0,123,sha256:0b970013351304af46f322da1263516b188318682b2ab1091862497591189ff1
php:latest,trivy,,,2022-09-18 14:35:50,261,30,32,1,0,324,sha256:93e675294f2d4884625771a85e61f5c3be3622b1686516fb1de8d1e862f742d5
cgr.dev/chainguard/go:latest,trivy,,,2022-09-17 14:35:11,0,0,0,0,0,0,sha256:3d86f031b771f2f3a93f1946342da8ea69fe91fe1070ceb897f0234558642b42
cgr.dev/chainguard/nginx:latest,trivy,,,2022-09-17 14:35:35,0,0,0,0,0,0,sha256:9922051f911dde2772336ee81518c9a91806cb2851f340112de566405909f012
cgr.dev/chainguard/php:latest,trivy,,,2022-09-17 14:35:36,0,0,0,0,0,0,sha256:3a7e8364d22b265dca5b89137ddd16185ab5fd503498eb3431fe51058a5a1a3e
golang:latest,trivy,,,2022-09-17 14:35:56,275,42,50,10,0,377,sha256:2d17ffd12a2cdb25d4a633ad25f8dc29608ed84f31b3b983427d825280427095
nginx:latest,trivy,,,2022-09-17 14:36:09,93,15,13,2,0,123,sha256:0b970013351304af46f322da1263516b188318682b2ab1091862497591189ff1
php:latest,trivy,,,2022-09-17 14:36:15,261,30,31,1,0,323,sha256:93e675294f2d4884625771a85e61f5c3be3622b1686516fb1de8d1e862f742d5
cgr.dev/chainguard/go:latest,trivy,,,2022-09-16 14:40:25,0,0,0,0,0,0,sha256:fe042439e59bbd24ee16af8a7c48a4d63551918427799c03cc7e10008c3047ff
cgr.dev/chainguard/nginx:latest,trivy,,,2022-09-16 14:40:51,0,0,0,0,0,0,sha256:0c3920ea7be52404b035787182ccc3ceeaa7f5a374decf6b03a569b6accf536c
cgr.dev/chainguard/php:latest,trivy,,,2022-09-16 14:40:54,0,0,0,0,0,0,sha256:b876d7c8bdc5aea9b294a4e666007c17ea3933edd8ff025e9f8f3220ea0ae97e
golang:latest,trivy,,,2022-09-16 14:41:20,275,42,50,10,0,377,sha256:2d17ffd12a2cdb25d4a633ad25f8dc29608ed84f31b3b983427d825280427095
nginx:latest,trivy,,,2022-09-16 14:41:36,93,15,13,2,0,123,sha256:0b970013351304af46f322da1263516b188318682b2ab1091862497591189ff1
php:latest,trivy,,,2022-09-16 14:41:45,261,30,31,1,0,323,sha256:93e675294f2d4884625771a85e61f5c3be3622b1686516fb1de8d1e862f742d5
cgr.dev/chainguard/go:latest,trivy,,,2022-09-15 14:38:54,0,0,0,0,0,0,sha256:b0b729a969cb4ad86b694c12af208a8410eb0c6d8d2ebe25021746ee1184eafe
cgr.dev/chainguard/nginx:latest,trivy,,,2022-09-15 14:39:20,0,0,0,0,0,0,sha256:b2dcf5402c0083c28cbc161a057a2bfd962b96809df0a62d33f569f6597f4245
cgr.dev/chainguard/php:latest,trivy,,,2022-09-15 14:39:22,0,0,0,0,0,0,sha256:2d8c922d43a2e915c9d7a9638dc69d13bd971af8dcf771e900cf2ab852e978a9
golang:latest,trivy,,,2022-09-15 14:39:47,275,42,50,9,1,377,sha256:2d17ffd12a2cdb25d4a633ad25f8dc29608ed84f31b3b983427d825280427095
nginx:latest,trivy,,,2022-09-15 14:40:01,93,15,13,1,1,123,sha256:0b970013351304af46f322da1263516b188318682b2ab1091862497591189ff1
php:latest,trivy,,,2022-09-15 14:40:09,261,30,31,1,0,323,sha256:93e675294f2d4884625771a85e61f5c3be3622b1686516fb1de8d1e862f742d5
