image,scanner,scanner_version,scanner_db_version,time,low_cve_cnt,med_cve_cnt,high_cve_cnt,crit_cve_cnt,unknown_cve_cnt,tot_cve_cnt,digest
cgr.dev/chainguard/nginx:latest,trivy,,,2022-10-10 14:44:14,0,0,0,0,0,0,sha256:0557f0cb6f6f8c8099a656c9657f682f45d044a2f0e1b0de87aa1149d8d5ec37
cgr.dev/chainguard/php:latest,trivy,,,2022-10-10 14:44:16,0,0,0,0,0,0,sha256:2e1a57ba98ce52dbc938e7f13478e080dab2df61d7591c3e6cf206ca95a86b17
golang:latest,trivy,,,2022-10-10 14:44:36,286,52,51,9,2,400,sha256:b850621230956a6d960d6d7cfaba6a8a2e8e245b230a928ef66aa0cfd065e229
nginx:latest,trivy,,,2022-10-10 14:44:49,93,15,13,1,0,122,sha256:2f770d2fe27bc85f68fd7fe6a63900ef7076bc703022fe81b980377fe3d27b70
php:latest,trivy,,,2022-10-10 14:44:56,268,40,32,1,2,343,sha256:326d53dc9e50474c77a60d0ddbefa41f5e048bce4ed30fb9ffcbd0bcb10409e2
cgr.dev/chainguard/go:latest,trivy,,,2022-10-09 14:37:00,0,0,0,0,0,0,sha256:b3f1fb37717c2a446197dc66b3a48a3039bf0d384d2aae1b82a5c685f739fa5b
cgr.dev/chainguard/nginx:latest,trivy,,,2022-10-09 14:37:41,0,0,0,0,0,0,sha256:9ff3f55b71e2c9606a882b5ce2eef2d7dde86d1b9b67fbfec60064933d169b9e
cgr.dev/chainguard/php:latest,trivy,,,2022-10-09 14:37:44,0,0,0,0,0,0,sha256:a83efa3334e410b39de641a56af61df6404ea6d46697439e5876678c66a7e37a
golang:latest,trivy,,,2022-10-09 14:38:12,286,52,51,9,2,400,sha256:b850621230956a6d960d6d7cfaba6a8a2e8e245b230a928ef66aa0cfd065e229
nginx:latest,trivy,,,2022-10-09 14:38:29,93,15,13,1,0,122,sha256:2f770d2fe27bc85f68fd7fe6a63900ef7076bc703022fe81b980377fe3d27b70
php:latest,trivy,,,2022-10-09 14:38:38,268,40,32,1,2,343,sha256:326d53dc9e50474c77a60d0ddbefa41f5e048bce4ed30fb9ffcbd0bcb10409e2
cgr.dev/chainguard/go:latest,trivy,,,2022-10-08 14:38:25,0,0,0,0,0,0,sha256:a5900a4a66d240848fb12c15ed23e45b55bd1f8f4c580c5e0f0c481500934357
cgr.dev/chainguard/nginx:latest,trivy,,,2022-10-08 14:39:03,0,0,0,0,0,0,sha256:5df7f249cae718486e8ffe3cb7e817ee1babf7b64bc69df90bec1d791cfdb5d7
cgr.dev/chainguard/php:latest,trivy,,,2022-10-08 14:39:06,0,0,0,0,0,0,sha256:fb5853b81c177ac68aa9ffbd62cd4cb392d94e0204f8d717a5112e4c1689c8ab
golang:latest,trivy,,,2022-10-08 14:39:34,280,52,50,9,1,392,sha256:b850621230956a6d960d6d7cfaba6a8a2e8e245b230a928ef66aa0cfd065e229
nginx:latest,trivy,,,2022-10-08 14:39:52,93,15,13,1,0,122,sha256:2f770d2fe27bc85f68fd7fe6a63900ef7076bc703022fe81b980377fe3d27b70
php:latest,trivy,,,2022-10-08 14:40:02,262,40,31,1,1,335,sha256:326d53dc9e50474c77a60d0ddbefa41f5e048bce4ed30fb9ffcbd0bcb10409e2
cgr.dev/chainguard/go:latest,trivy,,,2022-10-07 14:42:22,0,0,0,0,0,0,sha256:ec841359408345c28596a5765253da3870c8364d010cfd55455f6f31e129faf2
cgr.dev/chainguard/nginx:latest,trivy,,,2022-10-07 14:43:00,0,0,0,0,0,0,sha256:8992bfa4209ffd81243c741e9ddd36f2083524eb088ac509e48ca5dd0c6760f3
cgr.dev/chainguard/php:latest,trivy,,,2022-10-07 14:43:02,0,0,0,0,0,0,sha256:89e962434a94096a51982f897b5ae6581070b6a7551e7020f78338361dd72b79
golang:latest,trivy,,,2022-10-07 14:43:30,280,52,50,9,1,392,sha256:b850621230956a6d960d6d7cfaba6a8a2e8e245b230a928ef66aa0cfd065e229
nginx:latest,trivy,,,2022-10-07 14:43:49,93,15,13,1,0,122,sha256:2f770d2fe27bc85f68fd7fe6a63900ef7076bc703022fe81b980377fe3d27b70
php:latest,trivy,,,2022-10-07 14:43:59,262,40,31,1,1,335,sha256:326d53dc9e50474c77a60d0ddbefa41f5e048bce4ed30fb9ffcbd0bcb10409e2
cgr.dev/chainguard/go:latest,trivy,,,2022-10-06 14:42:47,0,0,0,0,0,0,sha256:a065e3bc3bc7ee2b02ed12fefc0a55531c61799a3ae9e47a3ea94d54a82d7ec9
cgr.dev/chainguard/nginx:latest,trivy,,,2022-10-06 14:43:25,0,0,0,0,0,0,sha256:c0de73b06a8c918c6ca7f255bb806e3d85192cb9a3bb5bd342440f18bd028c44
cgr.dev/chainguard/php:latest,trivy,,,2022-10-06 14:43:28,0,0,0,0,0,0,sha256:e6ca071ff979b3be210c07a0c7df1c58d5e2befffae23a5a8276a5d533d889e7
golang:latest,trivy,,,2022-10-06 14:43:56,280,52,50,9,1,392,sha256:27ff940e5e460ef6dc80311c7bb9c633871bb99a1f45e190fa29864a1ea7209a
nginx:latest,trivy,,,2022-10-06 14:44:16,93,15,13,1,0,122,sha256:2f770d2fe27bc85f68fd7fe6a63900ef7076bc703022fe81b980377fe3d27b70
